,ES1 Index,NQ1 Index,Z 1 Index,VG1 Index,XU1 Index,NK1 Index,CL1 Comdty,CO1 Comdty,NG1 Comdty,XB1 Comdty,HO1 Comdty,HG1 Comdty,LA1 Comdty,LX1 Comdty,C 1 Comdty,S 1 Comdty,BO1 Comdty,LC1 Comdty,W 1 Comdty,GC1 Comdty,PL1 Comdty,FV1 Comdty,TY1 Comdty,RX1 Comdty,JB1 Comdty,PnL,Pct_PnL,CumPnL
1/8/2010,570750,491400,513948.6987,1068207.37,520650,816641.485,1489500,1220550,1034820,0,0,0,1408281.25,997300,0,0,0,0,2842500,-569450,-1173450,-11500781.25,-11603125,8425289.749,0,1154464.67,0.011544647,1.011544647
2/1/2010,488812.5,140460,814011.7809,842653.0759,384245,674759.9603,-223290,-219330,434720,0,0,0,823600,478912.5,0,0,0,0,0,-441720,-692685,0,0,0,0,14065.63,0.000140656,1.011686927
2/2/2010,109725,70760,-327897.0763,547579.4901,239085,114737.7738,154460,152120,54540,0,0,0,313875,214350,0,0,0,0,0,223480,315760,0,0,0,0,-10319.15,-0.000103192,1.011582529
2/3/2010,-438600,-392810,-1344393.405,-726581.7318,-760765,-458122.6643,-230940,-227760,-216760,0,0,0,-359581.25,-311700,0,0,0,0,0,-889120,157620,0,0,0,0,158915.77,0.001589158,1.013190094
2/4/2010,371612.5,346950,1101320.3,671427.5304,287415,116213.7885,-73140,-72130,-54160,0,0,0,100812.5,100325,0,0,0,0,0,531200,-151530,0,0,0,0,-46047.53,-0.000460475,1.012723544
2/5/2010,423900,349000,449824.18,695101.623,355300,-225434.1737,142380,139180,55150,0,0,0,244000,240156.25,0,0,0,0,0,210440,147510,0,0,0,0,25400.11,0.000254001,1.012980777
2/8/2010,369600,138760,1232696.009,683383.3981,364525,223168.2725,143780,140220,-108020,0,0,0,198350,200425,0,0,0,0,0,426280,-74050,-11686718.75,-11848437.5,-9078320.756,0,70929.77,0.000709298,1.013699282
2/9/2010,373187.5,140160,1126995.992,694324.8532,-335520,-221627.6477,147500,144260,-105800,0,0,0,101287.5,52168.75,0,0,0,0,0,430680,-75120,-11668750,-11823437.5,-8986011.452,0,108027.16,0.001080272,1.014794353
2/10/2010,318975,314055,1112439.885,608626.3376,840165,111074.0494,-74520,-72540,-105840,0,0,0,300712.5,209975,0,0,0,0,0,322740,-302580,0,0,-8988134.236,0,247229.17,0.002472292,1.017303221
2/11/2010,322950,284080,948662.8462,587818.5934,745500,420980.5116,75280,73050,-107920,0,0,0,253218.75,163762.5,0,0,0,0,0,328260,-227895,0,0,0,0,-267196.31,-0.002671963,1.014585024
2/12/2010,323700,320985,326157.5696,215933.0986,698750,449088.4838,148260,145800,109360,0,0,0,252937.5,216750,0,0,0,0,0,108950,75555,0,0,0,0,3064808.26,0.030648083,1.045680109
2/15/2010,414550,252620,1115421.456,710045.5949,727743,555987.5583,158120,145020,-102680,0,0,0,202150,164287.5,0,0,0,0,0,370800,93920,-10746875,-11232812.5,0,0,-2206724.84,-0.022067248,1.022604827
2/16/2010,382637.5,359850,1122998.987,750341.3217,245160,555802.0856,77010,75680,53100,0,0,0,52718.75,-58075,0,0,0,0,0,111930,76885,0,-11831250,0,0,104428.95,0.00104429,1.023672722
2/17/2010,164925,108705,1072383.869,729947.821,-244638,563773.833,77330,76270,-53860,0,0,0,52487.5,57068.75,0,0,0,0,0,111950,76855,0,-11767187.5,0,0,76009.75,0.000760098,1.024450813
2/18/2010,110550,-109245,341586.7087,246617.8754,-226457,450059.9063,79060,77780,-155160,0,0,0,209050,229225,0,0,0,0,0,111800,75980,0,0,0,0,-20971.57,-0.000209716,1.02423597
2/19/2010,110625,109155,345440.4446,-246470.2858,212296,-110795.4545,159620,156380,151320,0,0,0,211490,234700,0,0,0,0,0,448520,308720,0,0,0,0,-79505.98,-0.00079506,1.023421641
2/22/2010,443000,109260,1067208.191,714879.3763,223860,113780.9963,80160,78610,-146850,0,0,0,53162.5,-56862.5,0,0,0,0,0,445040,-306380,0,0,0,0,-28562.5,-0.000285625,1.023129326
2/23/2010,438900,324180,377042.007,262560.154,-229900,114719.5744,78860,-77250,-47780,0,0,0,52518.75,-55037.5,0,0,0,0,0,441080,-302060,0,0,0,0,3100.48,3.10E-05,1.023161048
2/24/2010,441400,326520,380516.6147,767129.5612,242765,113144.7587,-80000,-78090,-48160,0,0,0,52775,54612.5,0,0,0,0,0,109650,-301460,0,0,0,0,40282.82,0.000402828,1.023573206
2/25/2010,165337.5,108810,344710.1212,257831.4142,239076,453524.9214,156340,152580,-47670,0,0,0,51487.5,52387.5,0,0,0,0,0,110850,-306240,0,0,0,0,-30220.21,-0.000302202,1.02326388
2/26/2010,441400,363700,350210.0013,259790.1841,662470,454085.6468,159320,155180,144390,0,0,0,210800,217450,0,0,0,0,0,447560,230985,0,0,0,0,26624.27,0.000266243,1.023536317
3/1/2010,167175,110565,1078246.948,817404.1298,661850,-114102.9956,157400,153780,-46790,0,0,0,52900,54937.5,0,0,0,0,0,111830,-77200,0,0,0,0,26869.37,0.000268694,1.023811335
3/2/2010,-111750,111135,-291977.8238,205214.8366,205675,115137.8728,0,0,47080,0,0,0,53518.75,55812.5,0,0,0,0,0,113740,157600,0,0,0,0,3835.19,3.84E-05,1.0238506
3/3/2010,167775,370400,365596.0265,226553.2598,-217000,115632.4178,0,0,-95140,0,0,0,54575,-57437.5,0,0,0,0,0,342990,-79175,0,0,0,0,6869.83,6.87E-05,1.023920937
3/4/2010,448900,371950,-329956.0937,228164.3472,-212600,455627.9488,0,0,-91500,0,0,0,54781.25,-55893.75,0,0,0,0,0,339930,237540,0,0,0,0,18513.95,0.00018514,1.024110505
3/5/2010,170475,-113130,-332186.0342,-633641.5676,213300,-114864.8649,81500,79890,45930,0,0,0,165206.25,58137.5,0,0,0,0,0,340560,78955,0,0,0,0,-2820.72,-2.82E-05,1.024081617
3/8/2010,454800,339885,1038895.526,675487.7512,622340,468608.1276,81870,80470,-135810,0,0,0,165225,234450,0,0,0,0,0,337200,80005,0,0,0,0,10434.2,0.000104342,1.024188472
3/9/2010,171075,114075,1082013.069,232987.7959,216200,469489.8299,0,0,-135480,0,0,0,55756.25,-58725,0,0,0,0,0,-112230,-79845,0,0,0,0,9740.62,9.74E-05,1.024288234
3/10/2010,-171862.5,-307000,939461.2098,255517.3171,-215300,-116769.7746,0,0,-45590,0,0,0,-55103.75,-58743.75,0,0,0,0,0,-110810,-238530,0,0,0,0,-9494.16,-9.49E-05,1.024190987
3/11/2010,172575,115515,297941.8404,253841.0935,216100,471992.0451,0,0,-44400,0,0,0,-55152.5,57825,0,0,0,0,0,332460,-241905,0,0,0,0,-2791.22,-2.79E-05,1.024162399
3/12/2010,172687.5,115605,296053.6701,252567.3615,213500,117932.8622,81240,79390,132000,0,0,0,55763.75,230775,0,0,0,0,0,330510,241260,0,0,0,0,-16039,-0.00016039,1.023998134
3/15/2010,460100,307120,927475.5927,672194.1946,-210100,471445.9295,79800,77890,-131730,0,0,0,219380,56262.5,0,0,0,0,0,331620,80790,0,0,0,0,34109.1,0.000341091,1.024347411
